link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale,price_per_sqm
https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/20376412,20376412,GERAARDSBERGEN,9500,384000,HOUSE,HOUSE,252.0,0.0,0,0.0,0.0,2.0,0,0.0,INSTALLED,GOOD,FOR_SALE,1523.8095238095239
https://www.immoweb.be/en/classified/house/for-sale/marche-en-famenne/6900/20379734,20379734,Marche-en-Famenne,6900,159000,HOUSE,HOUSE,170.0,0.0,0,30.0,630.0,4.0,0,630.0,NOT_INSTALLED,TO_RENOVATE,FOR_SALE,935.2941176470588
https://www.immoweb.be/en/classified/apartment/for-sale/sint-joris-weert/3051/20348389,20348389,SINT-JORIS-WEERT,3051,329000,APARTMENT,APARTMENT,82.0,0.0,0,0.0,0.0,3.0,0,0.0,INSTALLED,JUST_RENOVATED,FOR_SALE,4012.1951219512193
https://www.immoweb.be/en/classified/house/for-sale/lede/9340/20370371,20370371,Lede,9340,524000,HOUSE,HOUSE,181.0,0.0,0,32.0,234.0,3.0,0,367.0,HYPER_EQUIPPED,AS_NEW,FOR_SALE,2895.027624309392
https://www.immoweb.be/en/classified/house/for-sale/flemalle/4400/20390822,20390822,FLÉMALLE,4400,165000,HOUSE,HOUSE,100.0,0.0,0,15.0,220.0,2.0,0,0.0,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE,1650.0
https://www.immoweb.be/en/classified/house/for-sale/saint-georges-sur-meuse/4470/20294304,20294304,Saint-Georges-sur-Meuse,4470,349000,HOUSE,HOUSE,164.0,0.0,0,0.0,1200.0,4.0,0,1950.0,UNKNOWN,UNKNOWN,FOR_SALE,2128.048780487805
https://www.immoweb.be/en/classified/house/for-sale/nijlen/2560/20369773,20369773,Nijlen,2560,399000,HOUSE,HOUSE,110.0,0.0,0,0.0,300.0,4.0,0,827.0,UNKNOWN,GOOD,FOR_SALE,3627.2727272727275
https://www.immoweb.be/en/classified/house/for-sale/peer/3990/20374894,20374894,Peer,3990,449000,HOUSE,HOUSE,180.0,0.0,0,0.0,0.0,4.0,0,1790.0,UNKNOWN,UNKNOWN,FOR_SALE,2494.4444444444443
https://www.immoweb.be/en/classified/house/for-sale/verviers/4800/20380426,20380426,Verviers,4800,169000,HOUSE,HOUSE,133.0,0.0,0,0.0,0.0,2.0,0,42.0,SEMI_EQUIPPED,JUST_RENOVATED,FOR_SALE,1270.6766917293232
https://www.immoweb.be/en/classified/house/for-sale/antwerpen-2050/2050/20383420,20383420,Antwerpen (2050),2050,465000,HOUSE,HOUSE,169.0,0.0,0,0.0,0.0,0.0,0,0.0,UNKNOWN,GOOD,FOR_SALE,2751.4792899408285
https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10711069,10711069,SCHAERBEEK,1030,350000,APARTMENT,APARTMENT,115.0,0.0,0,7.0,0.0,2.0,0,0.0,INSTALLED,GOOD,FOR_SALE,3043.478260869565
https://www.immoweb.be/en/classified/house/for-sale/zwalm/9630/20380915,20380915,Zwalm,9630,395000,HOUSE,HOUSE,176.0,0.0,0,0.0,0.0,3.0,0,575.0,UNKNOWN,AS_NEW,FOR_SALE,2244.318181818182
https://www.immoweb.be/en/classified/house/for-sale/fl%C3%89malle-grande/4400/20390803,20390803,FLÉMALLE-GRANDE,4400,160000,HOUSE,HOUSE,93.0,0.0,0,15.0,85.0,2.0,0,223.0,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE,1720.4301075268818
https://www.immoweb.be/en/classified/house/for-sale/laakdal/2430/20359087,20359087,LAAKDAL,2430,376200,HOUSE,HOUSE,162.0,0.0,0,0.0,0.0,4.0,0,460.0,SEMI_EQUIPPED,UNKNOWN,FOR_SALE,2322.222222222222
https://www.immoweb.be/en/classified/apartment/for-sale/luik/4000/20372652,20372652,Luik,4000,280000,APARTMENT,APARTMENT,125.0,0.0,0,0.0,0.0,2.0,1,0.0,UNKNOWN,GOOD,FOR_SALE,2240.0
https://www.immoweb.be/en/classified/house/for-sale/anderlecht/1070/20333014,20333014,ANDERLECHT,1070,459000,HOUSE,HOUSE,185.0,0.0,0,25.0,68.0,2.0,0,165.0,SEMI_EQUIPPED,GOOD,FOR_SALE,2481.0810810810813
https://www.immoweb.be/en/classified/house/for-sale/maldegem/9990/20379774,20379774,Maldegem,9990,649000,HOUSE,HOUSE,242.0,0.0,0,0.0,0.0,4.0,0,562.0,UNKNOWN,GOOD,FOR_SALE,2681.818181818182
https://www.immoweb.be/en/classified/apartment/for-sale/de%20haan/8420/20390404,20390404,De Haan,8420,719825,APARTMENT,APARTMENT,121.0,0.0,0,41.0,0.0,2.0,0,0.0,UNKNOWN,AS_NEW,FOR_SALE,5948.966942148761
https://www.immoweb.be/en/classified/apartment/for-sale/anthisnes/4160/20339672,20339672,Anthisnes,4160,210000,APARTMENT,APARTMENT,96.0,0.0,1,0.0,0.0,0.0,0,0.0,UNKNOWN,GOOD,FOR_SALE,2187.5
https://www.immoweb.be/en/classified/apartment/for-sale/laeken/1020/20379654,20379654,Laeken,1020,169000,APARTMENT,APARTMENT,81.0,0.0,0,0.0,0.0,2.0,0,0.0,NOT_INSTALLED,TO_BE_DONE_UP,FOR_SALE,2086.41975308642
https://www.immoweb.be/en/classified/apartment/for-sale/jalhay/4845/20313695,20313695,Jalhay,4845,295000,APARTMENT,APARTMENT,110.0,0.0,0,21.0,55.0,3.0,0,0.0,INSTALLED,AS_NEW,FOR_SALE,2681.818181818182
https://www.immoweb.be/en/classified/apartment/for-sale/wavre/1300/20373697,20373697,Wavre,1300,275000,APARTMENT,APARTMENT,125.0,0.0,0,0.0,0.0,3.0,0,0.0,INSTALLED,GOOD,FOR_SALE,2200.0
