link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/house/for-sale/bouwel/2288/20370916,20370916,Bouwel,2288,575000.0,HOUSE,HOUSE,308.0,,1,,2351,4.0,0,2578,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/paliseul/6850/20370817,20370817,Paliseul,6850,299000.0,HOUSE,HOUSE,130.0,0.0,0,24,40,2.0,0,182,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ruddervoorde/8020/20278492,20278492,Ruddervoorde,8020,298000.0,HOUSE,HOUSE,178.0,,0,null,null,,0,1011,null,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/olen/2250/20371317,20371317,Olen,2250,417500.0,HOUSE,HOUSE,230.0,,0,,null,3.0,0,512,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/li%C3%A8ge/4030/20371031,20371031,Liège,4030,180000.0,HOUSE,HOUSE,112.0,0.0,0,36,68,2.0,0,165,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/duinbergen/8301/20331250,20331250,Duinbergen,8301,199000.0,APARTMENT,APARTMENT,50.0,,0,null,null,,0,null,null,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/geel/2440/20382682,20382682,GEEL,2440,135000.0,HOUSE,HOUSE,84.0,,0,,null,2.0,0,75,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/onze-lieve-vrouw-waver/2861/20370674,20370674,Onze-Lieve-Vrouw-Waver,2861,835000.0,HOUSE,HOUSE,335.0,,0,null,null,,0,12932,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/fontainel%27ev%C3%AAque/6140/20388051,20388051,Fontainel'Evêque,6140,285000.0,HOUSE,HOUSE,130.0,0.0,0,null,75,3.0,0,120,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/herenthout/2270/20386631,20386631,Herenthout,2270,329000.0,APARTMENT,APARTMENT,100.0,0.0,0,,null,2.0,0,null,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/20316854,20316854,Evere,1140,298000.0,APARTMENT,APARTMENT,102.0,0.0,0,,null,3.0,0,null,NOT_INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20377373,20377373,Knokke-Heist,8300,1375000.0,APARTMENT,APARTMENT,84.0,,0,6,null,2.0,0,null,HYPER_EQUIPPED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/roeselare/8800/20374482,20374482,Roeselare,8800,225000.0,APARTMENT,APARTMENT,67.0,,0,,null,2.0,0,null,null,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/brakel/9660/11303271,11303271,Brakel,9660,147500.0,APARTMENT,APARTMENT,73.0,0.0,0,null,null,,0,null,,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2140/20379327,20379327,Antwerpen,2140,168000.0,APARTMENT,APARTMENT,83.0,,0,10,null,,0,null,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/huy/4500/20324262,20324262,HUY,4500,164000.0,APARTMENT,APARTMENT,107.0,0.0,0,,null,3.0,0,null,HYPER_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/20381350,20381350,MECHELEN,2800,399000.0,HOUSE,HOUSE,123.0,,0,34,50,3.0,0,198,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2000/2000/20370794,20370794,Antwerpen (2000),2000,409000.0,APARTMENT,APARTMENT,86.0,0.0,0,20,null,,0,null,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20294137,20294137,Gent,9000,185000.0,APARTMENT,APARTMENT,100.0,0.0,0,10,null,2.0,0,null,NOT_INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1120/20322898,20322898,Bruxelles,1120,249000.0,APARTMENT,APARTMENT,75.0,0.0,0,6,null,3.0,0,null,,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/20184376,20184376,Schaerbeek,1030,330000.0,APARTMENT,APARTMENT,116.0,0.0,0,6,null,2.0,0,null,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/20365868,20365868,Forest,1190,330000.0,APARTMENT,APARTMENT,90.0,,0,17,null,2.0,0,null,HYPER_EQUIPPED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/mons/7000/20237271,20237271,Mons,7000,139000.0,APARTMENT,APARTMENT,72.0,,0,,null,,0,null,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/balen/2490/20371960,20371960,Balen,2490,399395.0,APARTMENT,APARTMENT,129.0,,0,23,null,2.0,0,null,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/ieper/8900/20369486,20369486,Ieper,8900,229000.0,APARTMENT,APARTMENT,90.0,0.0,0,4,null,3.0,0,null,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20318544,20318544,Deurne,2100,169000.0,APARTMENT,APARTMENT,89.0,,0,null,null,2.0,0,null,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/tournai/7500/20368117,20368117,Tournai,7500,199000.0,HOUSE,HOUSE,,,0,null,null,2.0,0,603,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/wilrijk/2610/20379783,20379783,Wilrijk,2610,219000.0,APARTMENT,APARTMENT,106.0,,0,null,null,,0,null,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/zeebrugge/8380/20074664,20074664,Zeebrugge,8380,399000.0,APARTMENT,APARTMENT,82.0,,0,,null,,0,null,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/20388210,20388210,Hasselt,3500,290000.0,APARTMENT,APARTMENT,112.0,,0,,null,,0,null,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/trooz/4870/20369405,20369405,Trooz,4870,135000.0,HOUSE,HOUSE,170.0,0.0,0,11,100,2.0,0,224,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/20388072,20388072,GERAARDSBERGEN,9500,499000.0,HOUSE,HOUSE,228.0,,1,null,null,,0,980,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/aarsele/8700/20368963,20368963,Aarsele,8700,235000.0,HOUSE,HOUSE,121.0,0.0,0,null,null,3.0,0,870,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20368052,20368052,Uccle,1180,799000.0,HOUSE,HOUSE,248.0,0.0,0,18,null,2.0,0,0,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20377372,20377372,Knokke-Heist,8300,1195000.0,APARTMENT,APARTMENT,115.0,0.0,0,4,null,2.0,0,null,HYPER_EQUIPPED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/leuven/3000/20182469,20182469,Leuven,3000,420000.0,APARTMENT,APARTMENT,96.0,0.0,0,null,null,2.0,0,null,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/willebroek/2830/20366466,20366466,WILLEBROEK,2830,249000.0,HOUSE,HOUSE,138.0,,0,null,null,3.0,0,119,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/20386272,20386272,ANTWERPEN,2018,579000.0,APARTMENT,APARTMENT,180.0,,0,null,null,0.0,0,null,SEMI_EQUIPPED,null,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/20135501,20135501,Woluwe-Saint-Pierre,1150,350000.0,APARTMENT,APARTMENT,120.0,0.0,0,,null,3.0,0,null,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20355081,20355081,Ixelles,1050,395000.0,APARTMENT,APARTMENT,82.0,0.0,0,3,null,2.0,0,null,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/opoeteren/3680/20375041,20375041,OPOETEREN,3680,469000.0,HOUSE,HOUSE,290.0,,0,null,null,4.0,0,1060,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/20378024,20378024,ANTWERPEN,2018,325000.0,APARTMENT,APARTMENT,100.0,,0,2,null,,0,null,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2100/20387407,20387407,Antwerpen,2100,245000.0,APARTMENT,APARTMENT,75.0,,0,2,null,3.0,0,null,null,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/zelzate/9060/20348811,20348811,Zelzate,9060,260000.0,APARTMENT,APARTMENT,80.0,,0,null,null,,0,null,null,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/oosterzele/9860/20376388,20376388,OOSTERZELE,9860,1099000.0,HOUSE,HOUSE,215.0,,0,null,null,,0,1570,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/haaltert/9450/20041721,20041721,Haaltert,9450,265000.0,APARTMENT,APARTMENT,90.0,0.0,0,8,null,,0,null,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20375908,20375908,Knokke-Heist,8300,1195000.0,APARTMENT,APARTMENT,140.0,0.0,0,43,null,2.0,0,null,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/maldegem/9991/20298997,20298997,Maldegem,9991,299000.0,HOUSE,HOUSE,190.0,,0,null,null,3.0,0,0,null,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/saint-georges-sur-meuse/4470/20281417,20281417,Saint-Georges-sur-Meuse,4470,425500.0,APARTMENT,APARTMENT,134.0,0.0,0,24,null,4.0,0,null,INSTALLED,,FOR_SALE
