link,property_id,locality_name,postal_code,latitude,longitude,price,type_of_property,subtype_of_property,construction_year,living_area,bedrooms,nr_bathrooms,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/apartment/for-sale/merksem/2170/20323535,20323535,MERKSEM,2170,51.2409755,4.4352353,189000,APARTMENT,APARTMENT,1956,70.0,2,1.0,,0,3,null,2.0,0,null,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/aalst%20%289300%29/9300/20366856,20366856,Aalst (9300),9300,50.9437362,4.0525459,169000,APARTMENT,APARTMENT,1991,75.0,2,1.0,,0,,null,,0,null,null,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/houtvenne/2235/20398401,20398401,Houtvenne,2235,51.04505109999999,4.81004,798000,HOUSE,HOUSE,2010,338.0,5,2.0,,0,,null,,0,2130,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/zwevezele/8750/20353909,20353909,Zwevezele,8750,51.0383426,3.229334,260000,APARTMENT,APARTMENT,2024,94.0,2,1.0,,0,10,null,,0,null,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/wevelgem/8560/20394379,20394379,Wevelgem,8560,50.8247356,3.1743974,407800,HOUSE,HOUSE,2024,183.0,3,1.0,0.0,0,24,null,3.0,0,456,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/turnhout/2300/20399219,20399219,Turnhout,2300,51.3278924,4.9544576,210000,APARTMENT,APARTMENT,2000,84.0,2,1.0,,0,,null,,0,null,USA_INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/sint-niklaas/9100/20382773,20382773,Sint-Niklaas,9100,51.1685583,4.1438822,495000,APARTMENT,APARTMENT,2017,143.0,2,1.0,,0,,null,,0,null,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/saint-ghislain/7330/20309781,20309781,Saint-Ghislain,7330,50.4791305,3.767389299999999,325000,HOUSE,HOUSE,2024,178.0,3,1.0,0.0,0,10,null,2.0,0,400,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/20403867,20403867,Brussel,1000,50.8791885,4.3709276,410000,APARTMENT,APARTMENT,,125.0,3,1.0,0.0,0,null,null,4.0,0,null,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/sint-amandsberg/9040/20384842,20384842,SINT-AMANDSBERG,9040,51.0629859,3.762265,290000,APARTMENT,APARTMENT,1963,115.0,2,1.0,,0,5,null,,0,null,SEMI_EQUIPPED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2100/20383016,20383016,ANTWERPEN,2100,51.22146799999999,4.464043999999999,429000,HOUSE,HOUSE,null,248.0,4,1.0,,0,null,139,0.0,0,241,INSTALLED,null,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20270324,20270324,Knokke-Heist,8300,51.35228799999999,3.2894025,649000,APARTMENT,APARTMENT,1989,71.0,2,1.0,0.0,0,3,null,2.0,0,null,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen%20%282018%29/2018/20392741,20392741,Antwerpen (2018),2018,51.19753799999999,4.4081694,735000,APARTMENT,APARTMENT,1928,158.0,3,1.0,,0,4,null,,0,null,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/liege/4020/20393300,20393300,Liège,4020,50.6431717,5.6326747,215000,HOUSE,HOUSE,,94.0,2,1.0,0.0,0,6,null,2.0,0,130,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/brugge%20sint-kruis/8310/20391060,20391060,Brugge Sint-Kruis,8310,51.2169183,3.2399933,268800,HOUSE,HOUSE,1935,126.0,3,1.0,0.0,0,15,30,2.0,0,125,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/blankenberge/8370/20388747,20388747,Blankenberge,8370,51.3046516,3.1399726,299000,HOUSE,HOUSE,1966,151.0,5,1.0,,0,,null,3.0,0,158,null,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/11046991,11046991,Knokke-Heist,8300,51.352239,3.2880182,975000,APARTMENT,APARTMENT,1985,70.0,2,0.0,,0,,null,,0,null,null,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/herentals/2200/20360816,20360816,Herentals,2200,51.2124837,4.8667125,619000,HOUSE,HOUSE,1958,201.0,3,1.0,,0,,null,4.0,0,13932,null,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/frasnes-lez-anvaing/7912/11374402,11374402,Frasnes-lez-Anvaing,7912,50.7262156,3.5872752,199000,HOUSE,HOUSE,1949,160.0,3,1.0,0.0,0,30,500,3.0,0,700,NOT_INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/borgerhout/2140/20346939,20346939,BORGERHOUT,2140,51.2178899,4.4359575,189000,APARTMENT,APARTMENT,,71.0,2,1.0,,0,2,null,2.0,0,null,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/adegem/9991/20149431,20149431,Adegem,9991,51.2048038,3.4904817,425000,APARTMENT,APARTMENT,2006,124.0,3,1.0,0.0,0,null,null,,0,null,null,AS_NEW,FOR_SALE
